model	p1	p2	p3	p4	p5	p6	p7	p98
2105	O	O	O		O		O	O
2106	O	O	O		O		O	O
2107	O	O	O		O		O	O
2108	O	O	O		O		O	O
2109	O	O	O		O		O	O
2198	O	O	O	O	O	O	O	O
2201	O	O	O		O		O	O
2202	O	O	O		O		O	O
2203	O	O	O		O		O	O
2204	O	O	O		O		O	O
2205	O	O	O		O		O	O
2206	O	O	O		O		O	O
2207	O	O	O		O		O	O
2208	O	O	O		O		O	O
2209	O	O	O		O		O	O
2210	O	O	O		O		O	O
2211	O	O	O		O		O	O
2212	O	O	O		O		O	O
2213	O	O	O	O	O		O	O
2214	O	O	O		O		O	O
2215	O	O	O		O		O	O
2216	O	O	O		O		O	O
2298	O	O	O		O		O	O
2301	O	O	O		O		O	O
2302	O	O	O		O		O	O
2303	O	O	O		O		O	O
2304	O	O	O		O		O	O
2305	O	O	O		O		O	O
2306	O	O	O		O		O	O
2307	O	O	O		O		O	O
2308	O	O	O		O		O	O
2309				O				O
2310	O	O	O		O		O	O
2311	O	O	O		O		O	O
2312	O	O	O		O		O	O
2313	O	O	O		O		O	O
2314	O	O	O		O		O	O
2398	O	O	O	O	O	O	O	O
2401	O	O	O		O		O	O
2402	O	O	O		O		O	O
2403	O	O	O		O		O	O
2404				O				O
2405	O	O	O		O		O	O
2406	O	O	O		O		O	O
2407	O	O	O		O		O	O
2408	O	O	O		O		O	O
2409	O	O	O		O		O	O
2498	O	O	O	O	O	O	O	O
2501	O	O					O	O
2502	O	O					O	O
2503	O	O					O	O
2504	O	O					O	O
2505	O	O					O	O
2506	O	O					O	O
2507	O	O					O	O
2508	O	O					O	O
2509	O	O					O	O
2510	O	O					O	O
2598	O	O	O		O		O	O
2601	O	O	O	O	O		O	O
2602	O	O	O		O		O	O
2603	O	O	O		O		O	O
2604	O	O	O		O		O	O
2605	O	O	O		O		O	O
2606	O	O	O		O		O	O
2607	O	O	O		O		O	O
2608	O	O	O		O		O	O
2609	O	O	O		O		O	O
2610	O	O	O		O		O	O
2611	O	O	O		O		O	O
2612				O				O
2698	O	O	O	O	O	O	O	O
2701	O	O					O	O
2702	O	O					O	O
2798	O	O	O	O	O	O	O	O
2801	O	O	O		O		O	O
2802	O	O	O		O		O	O
2803	O	O	O		O		O	O
2804	O	O	O				O	O
2805	O	O	O				O	O
2806	O	O	O				O	O
2807	O	O	O				O	O
2808	O	O						O
2809				O				O
2810	O	O						O
2811	O	O						O
2812	O	O						O
2898	O	O	O	O	O	O	O	O
2901	O	O	O		O			O
2902	O	O	O		O			O
2903	O	O	O		O			O
2904	O	O	O		O			O
2905	O	O	O		O			O
2906	O	O	O		O			O
2907				O				O
2908				O				O
2998	O	O	O	O	O	O	O	O
3001	O	O	O		O		O	O
3002	O	O	O		O		O	O
3003	O	O	O		O		O	O
3004				O				O
3098	O	O	O	O	O	O	O	O
3101	O	O						O
3102	O	O						O
3103	O	O						O
3104	O	O						O
3105	O	O						O
3106	O	O						O
3107	O	O						O
3198	O	O						O
3201	O	O						O
3202	O	O						O
3203	O	O						O
3298	O	O	O	O	O	O	O	O
3301	O	O						O
3302	O	O						O
3303	O	O						O
3304	O	O						O
3305	O	O						O
3398	O	O	O	O	O	O	O	O
3401	O	O						O
3402	O	O						O
3403	O	O						O
3404	O	O						O
3405	O	O						O
3498	O	O	O	O	O	O	O	O
3501	O	O	O		O		O	O
3502	O	O	O	O	O	O	O	O
9801	O	O	O	O	O	O	O	O
